R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
587,708,2325909373,369228316,11117,1648158,4013886,557714072,4,5,6,6,25737,8646
588,706,2090657558,107685778,9723,751980,2309189,593697112,1,5,9,7,16187,4444
592,679,2636082376,5947355917,110336,7138046,17346955,1026791896,72,5,5,5,147287,21915
592,706,2335686068,184599787,8320,591309,3025529,1134362416,3,5,7,6,33214,5127
592,796,2349174037,233131766,8711,506693,1857798,1259899952,1,5,11,6,106808,5020
593,706,2551002240,222715363,9033,608099,3036653,1367487136,3,5,7,6,33214,5312
593,796,2465452892,329373527,11698,817404,1876699,623798952,1,5,11,6,106808,5159
617,737,2287248619,1720348508,29899,2031454,10964371,1323111848,25,5,9,7,63054,10561
618,706,2143366366,63596360,6596,484763,1228493,1358979264,1,5,5,7,11575,4266
621,679,2317891151,4548330069,111359,5844901,16291463,1361940464,72,5,5,5,151240,16897
621,706,2357467624,193509892,9155,601299,3333778,1451916192,3,5,7,6,34506,4612
