R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
707,496,2581366101,673459177,32958,2288395,22388605,152430992,8,27,14,28,88646,15394
823,520,2237726659,268284676,16834,1706603,4901768,308001608,16,4,5,2,76803,9668
767,527,2376773834,153990750,13391,786433,3100947,392890144,2,8,19,16,50390,6810
797,527,2849848459,1144268061,33001,3231353,35240015,174027656,16,19,21,18,98185,19939
707,528,2568584528,333707458,19956,1111299,7089702,323538488,5,17,16,19,51803,9888
796,616,2823669573,2500443723,52931,4227675,67924677,268841464,24,27,27,28,152928,25420
706,647,2921529698,2762376113,71178,4255838,75439501,649297440,28,27,5,28,142144,19294
826,647,2656099696,1227109193,18209,2848544,16333679,426770400,7,13,16,14,63091,16371
823,727,2208598943,267300567,17159,1299836,3023673,750373496,17,3,4,1,80513,6391
793,756,2713437721,632446339,69772,1737981,3201565,976879904,47,11,11,10,104529,6402
796,756,2741114400,1951271305,57862,4234634,2890185,921621648,44,8,8,7,97452,16786
824,756,2679937279,1678490267,74878,3408893,3293817,777375536,46,10,10,7,103098,12663
825,756,2671936414,1746273234,68402,3533054,3185391,622254648,46,10,10,7,103098,12663
826,756,2681470949,1802765835,72079,3972062,3657516,470621488,46,10,10,7,103098,12663
793,757,2636797970,633001614,68787,1507905,2997090,705485232,47,11,11,10,104529,6402
796,757,2886050966,1989735931,60624,4854331,2978266,604187944,44,8,8,7,97452,16786
824,757,2665554832,1780609941,71706,3716529,3260035,467523992,46,10,10,7,103098,12663
825,757,2713404935,1898234000,69345,3719739,3433183,343725056,46,10,10,7,103098,12663
826,757,2707505549,1802125797,69609,4373636,3996934,258544824,46,10,10,7,103098,12663
823,758,2231485289,377050470,23963,1338106,8250920,441455368,22,4,6,2,89246,6648
793,789,2617681685,416278560,70524,907153,900684,593862104,57,2,3,2,106364,3442
796,789,2817193374,1845174355,60070,4151135,1740461,508826976,48,4,4,3,98768,14095
825,789,2673374168,1575809387,70730,3605236,641589,358067592,54,2,2,0,104414,9735
826,789,2718251038,1553952223,70279,3010181,119671,236941432,54,2,2,0,104414,9735
823,790,2249116071,333461075,23322,1147407,6408466,393787184,24,2,4,2,90107,5289
342,251,2286945765,180242427,10139,499592,146783,450833344,8,1,1,0,22601,2565
313,252,2502667018,241574931,31272,644216,5332214,550639176,12,25,0,25,73464,3289
313,281,2619887788,533051904,65513,422126,519939,764528752,31,9,9,9,200377,1799
343,281,2244465838,405816031,22412,1147106,3517837,213144192,15,10,14,14,57943,5600
341,282,2391570103,680640090,74166,951016,5375459,475310432,57,3,2,1,132578,4035
312,283,2394276801,423590620,45514,714007,6463666,627086872,31,13,9,13,91044,3451
431,312,2218266836,346848298,43126,1307537,1249507,765063840,21,11,12,5,85475,4444
461,312,2222602282,338633622,30595,1047621,1176098,221928472,21,11,12,5,85475,5187
550,312,2221520767,315311459,24789,981363,1478150,368874392,18,10,11,6,79593,6330
579,312,2257590224,304571424,23280,1130647,1194054,502450560,20,7,8,5,73569,6880
609,312,2209507181,326033058,24529,1192505,1188173,649389952,20,7,8,5,74932,7340
639,312,2242179799,342807286,22860,1212186,1284059,796336792,18,9,10,5,73361,8050
758,312,2329660965,483522198,24155,1684372,1522959,296207616,17,9,10,5,74563,10273
762,312,2251402780,345456716,17855,1662159,4182421,451472832,12,9,13,8,72687,11836
789,312,2196247884,354750006,17176,1305692,1823733,606735912,10,12,16,10,68313,10667
790,312,2218738405,374141960,18902,1293481,1826770,762016752,10,12,16,10,68313,10667
792,342,2623867114,631466977,31843,3529819,23944456,356336736,26,5,4,5,81717,17040
466,378,2368668843,737551608,22088,1623442,8677586,707491184,23,3,1,3,86579,7750
467,378,2282397702,705653732,21296,1492604,3179627,387734056,23,2,1,2,84169,5719
496,378,2519330577,1102386586,47554,2849798,42985129,233983912,26,20,2,20,104544,11529
526,378,2635716549,925800864,38391,2544180,33270492,670091216,21,18,4,17,97634,13688
616,408,2552464435,717869804,32493,2407222,21135938,399473456,26,7,0,7,72136,11093
676,408,2838968386,644181213,24968,1935045,10878631,685228408,14,14,9,14,71006,11744
616,438,2720492043,1178627654,56040,3377639,65859181,644014768,31,21,0,21,120427,15579
706,438,2888138722,1705478309,40265,4209844,43334025,230105744,16,25,25,26,110037,20593
707,438,2644294734,461077969,19070,1443403,8035657,423945496,7,16,16,17,55166,11582
