R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
650,706,2297280667,3200988,150708576,3,5,7,6,18218,3565
650,708,2487303881,7516694,118821232,56,5,0,5,96833,8762
650,796,2408061160,1670559,179904696,1,5,11,6,15061,3784
651,706,2276160846,3135747,199404384,3,5,7,6,18218,4106
651,796,2443278439,1921596,116384424,1,5,11,6,15061,4213
676,766,2522822963,47425207,176534624,45,5,2,5,58204,13296
676,767,2454060062,2143027,69526480,2,5,6,6,13592,7064
677,681,2281347166,2092475,92099944,10,5,9,6,34984,3378
677,795,2431267925,1685252,124667272,3,5,12,7,13097,4644
678,706,2347320760,2351295,144708704,3,5,5,6,18218,2281
678,796,2422811810,997260,87700144,1,5,10,7,15061,2769
679,706,2307035133,3103907,105631096,3,5,6,6,18218,3499
679,708,2494339879,1258978,177304064,58,5,0,5,97504,3007
679,796,2428478743,1295850,110507016,1,5,11,7,15061,3909
680,736,2302742046,2155762,133544656,1,5,10,12,13836,5561
681,736,2313263913,2012260,154014080,1,5,10,12,13836,5403
706,796,2615790431,59423713,104522688,65,5,1,4,74924,14202
707,797,2707437645,2029287,170049784,24,5,5,5,39805,5932
708,766,2251305686,747738,183152704,1,5,5,6,10707,2683
737,795,2537906690,3758083,117823392,6,5,10,5,16234,4483
737,796,2614372395,4149258,69652592,33,5,4,5,47075,4501
737,826,2557584282,5453799,142127312,14,5,10,5,25815,5458
756,757,2187947059,68112,177025192,65,4,0,4,59290,138
766,825,2375025476,1340264,190451952,5,5,10,5,17879,1911
767,795,2448117771,2135923,114430040,6,5,7,5,16234,3357
795,797,2630734010,13499823,170790336,54,5,10,5,84448,11928
796,797,2924561985,4744396,128703712,66,5,1,5,96646,1964
796,824,2820511786,1295872,194158160,68,4,4,1,64556,3963
797,825,2224899504,1245093,205061240,3,5,9,9,13392,1992
226,255,2004109690,356160,65412800,7,4,4,4,7622,663
252,281,2077262953,2775991,84501304,5,4,1,4,10629,4365
253,282,2074747335,1382304,95414584,1,4,2,4,6297,2778
253,313,2058246320,524757,103592264,8,4,4,4,15795,1569
281,401,2064114955,536568,109043440,2,4,2,4,6676,1458
281,431,2029000678,628889,114494592,2,4,4,4,6676,1693
281,460,2020357975,666365,119945760,2,4,4,4,6676,1893
281,461,2018204578,670214,128131400,2,4,4,4,6676,1873
281,490,2049165724,679550,133585832,2,4,4,4,6676,2017
281,520,2052162991,713226,139039488,2,4,4,4,6676,2147
281,550,2053046174,736892,144495560,2,4,4,4,6676,2271
281,580,2059132792,759011,149949200,2,4,4,4,6676,2398
