R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
322,475,2339760457,9817777,48184176,31,24,27,23,11705,5958
326,532,2066719784,4163741,56963872,41,6,13,10,17705,5744
404,434,2028745025,1376942,51287640,101,37,1,37,27141,287
416,597,2006107387,5150840,59262832,66,5,5,5,18413,6951
416,627,2025344496,3640164,46032456,65,6,7,5,18649,7256
437,499,1986236212,20619364,59202760,137,40,37,40,27626,6630
445,530,2122732638,4871798,47603240,32,20,36,32,14641,5031
449,508,1928847359,2180478,58372152,45,15,17,15,16648,1254
476,534,1913209219,2175476,61561608,9,37,32,45,4731,2088
499,531,2052680770,14807822,59370632,171,34,28,35,31117,5034
529,535,1989638186,8023931,64566744,28,36,47,27,12655,5403
533,591,2046221108,8915205,51056560,41,30,15,30,11799,2600
535,567,2041621898,11550743,61021720,66,31,8,31,11591,2304
537,566,2012821635,3211790,52314520,71,34,4,33,15854,1465
547,553,1916283371,6359397,57104224,28,26,26,26,13132,4520
554,586,1975576282,5766476,61899760,44,24,7,24,10750,1790
560,594,2080350122,4565157,48010344,11,41,44,60,7670,3218
561,651,2101158395,21656765,59974752,112,33,17,34,17510,5496
590,739,1977110622,1155618,64758888,68,3,4,4,9896,4407
593,653,2066648411,4401316,47611656,27,36,18,37,7497,1814
596,658,2096524529,9591237,48082704,106,28,27,20,23254,3564
645,680,2016539442,10113034,54460432,35,23,9,23,10546,3985
646,677,1999088098,1731758,60839016,19,29,19,29,6328,1387
646,678,1989805277,2263834,45277992,15,36,13,36,6328,1782
648,652,1972273805,3771422,51661304,77,9,7,9,14824,4102
650,710,2174855749,15090880,54408960,167,37,26,34,27355,3899
675,709,1989627699,6589974,59988856,16,46,32,31,10017,3356
675,710,1943876562,14953726,65171576,27,34,21,35,10256,3934
735,765,1990618346,1047738,57517584,62,37,6,37,9980,265
766,797,2090070820,1451754,71080592,129,6,4,5,25350,585
198,203,1974106400,2268716,61319952,71,2,3,2,29708,4024
198,265,2080841057,2538991,67302560,32,5,6,4,15484,3607
198,295,2045396059,2364669,52993600,34,3,4,3,15484,4027
